reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
87,192.0,0.0,192,192,2.206896551724138,32,32,32,350.0,0.0,350,350,4.022988505747127,2.3946360153256707,7
88,224.0,0.0,224,224,2.5454545454545454,32,32,32,354.0,0.0,354,354,4.0227272727272725,2.394480519480519,7
89,192.0,0.0,192,192,2.157303370786517,32,32,32,358.0,0.0,358,358,4.022471910112359,2.3943285179240235,7
90,192.0,0.0,192,192,2.1333333333333333,32,32,32,362.0,0.0,362,362,4.022222222222222,2.394179894179894,7
91,224.0,0.0,224,224,2.4615384615384617,32,32,32,366.0,0.0,366,366,4.021978021978022,2.3940345368916796,7
92,192.0,0.0,192,192,2.0869565217391304,32,32,32,370.0,0.0,370,370,4.021739130434782,2.393892339544513,7
93,224.0,0.0,224,224,2.4086021505376345,32,32,32,374.0,0.0,374,374,4.021505376344086,2.393753200204813,7
94,224.0,0.0,224,224,2.382978723404255,32,32,32,378.0,0.0,378,378,4.0212765957446805,2.3936170212765955,7
95,224.0,0.0,224,224,2.357894736842105,32,32,32,382.0,0.0,382,382,4.021052631578947,2.393483709273183,7
96,224.0,0.0,224,224,2.3333333333333335,32,32,32,386.0,0.0,386,386,4.020833333333333,2.3933531746031744,7
97,224.0,0.0,224,224,2.3092783505154637,32,32,32,390.0,0.0,390,390,4.020618556701031,2.393225331369661,7
98,224.0,0.0,224,224,2.2857142857142856,32,32,32,394.0,0.0,394,394,4.020408163265306,2.39310009718173,7
99,256.0,0.0,256,256,2.585858585858586,32,32,32,398.0,0.0,398,398,4.02020202020202,2.392977392977393,7
100,224.0,0.0,224,224,2.24,32,32,32,402.0,0.0,402,402,4.02,2.392857142857143,7
101,224.0,0.0,224,224,2.217821782178218,32,32,32,406.0,0.0,406,406,4.01980198019802,2.392739273927393,7
102,224.0,0.0,224,224,2.196078431372549,32,32,32,410.0,0.0,410,410,4.019607843137255,2.392623716153128,7
103,224.0,0.0,224,224,2.174757281553398,32,32,32,414.0,0.0,414,414,4.019417475728155,2.39251040221914,7
104,256.0,0.0,256,256,2.4615384615384617,32,32,32,418.0,0.0,418,418,4.019230769230769,2.3923992673992673,7
105,256.0,0.0,256,256,2.4380952380952383,32,32,32,422.0,0.0,422,422,4.019047619047619,2.3922902494331066,7
