reps,gt_mean_ns,gt_std_ns,gt_min_ns,gt_max_ns,gt_per_iter_ns,gt_tick_min_ns,gt_tick_mode_ns,gt_tick_gcd_ns,clk_mean_cycles,clk_std_cycles,clk_min_cycles,clk_max_cycles,clk_per_iter_cycles,clk_per_iter_ns_at_GHz,clk_tick_min_cycles
136,320.0,0.0,320,320,2.3529411764705883,32,32,32,550.0,0.0,550,550,4.044117647058823,2.4072128851540615,7
137,320.0,0.0,320,320,2.335766423357664,32,32,32,554.0,0.0,554,554,4.043795620437956,2.4070212026416407,7
138,352.0,0.0,352,352,2.550724637681159,32,32,32,558.0,0.0,558,558,4.043478260869565,2.406832298136646,7
139,320.0,0.0,320,320,2.302158273381295,32,32,32,562.0,0.0,562,562,4.043165467625899,2.4066461116820825,7
140,352.0,0.0,352,352,2.5142857142857142,32,32,32,566.0,0.0,566,566,4.042857142857143,2.4064625850340136,7
141,320.0,0.0,320,320,2.269503546099291,32,32,32,570.0,0.0,570,570,4.042553191489362,2.4062816616008105,7
142,352.0,0.0,352,352,2.4788732394366195,32,32,32,574.0,0.0,574,574,4.042253521126761,2.406103286384977,7
143,352.0,0.0,352,352,2.4615384615384617,32,32,32,578.0,0.0,578,578,4.041958041958042,2.4059274059274056,7
144,320.0,0.0,320,320,2.2222222222222223,32,32,32,582.0,0.0,582,582,4.041666666666667,2.4057539682539684,7
145,352.0,0.0,352,352,2.4275862068965517,32,32,32,586.0,0.0,586,586,4.041379310344827,2.4055829228243018,7
146,352.0,0.0,352,352,2.410958904109589,32,32,32,590.0,0.0,590,590,4.041095890410959,2.4054142204827134,7
147,352.0,0.0,352,352,2.3945578231292517,32,32,32,594.0,0.0,594,594,4.040816326530612,2.4052478134110786,7
148,352.0,0.0,352,352,2.3783783783783785,32,32,32,598.0,0.0,598,598,4.04054054054054,2.4050836550836547,7
149,352.0,0.0,352,352,2.3624161073825505,32,32,32,602.0,0.0,602,602,4.040268456375839,2.4049217002237135,7
150,352.0,0.0,352,352,2.3466666666666667,32,32,32,606.0,0.0,606,606,4.04,2.4047619047619047,7
151,384.0,0.0,384,384,2.543046357615894,32,32,32,610.0,0.0,610,610,4.039735099337748,2.4046042257962785,7
152,352.0,0.0,352,352,2.3157894736842106,32,32,32,614.0,0.0,614,614,4.0394736842105265,2.4044486215538847,7
